SKU,Handle,Collection,Category,Name,Variant Name,Price,In Stock,URL,Image URL,Body
,all,All,,ALFIE LUX,Default Title,35.00,Yes,https://janecarrolldesign.com/products/alfie-lux,https://cdn.shopify.com/s/files/1/1302/3613/products/317.jpg?v=1494495252,"<p><span style=""color: #bf9000;""><strong>Meet Alfie, our friendly and lovable rabbit dressed in smart corduroy dungarees and a soft teal coloured knitted jumper. Presented in his own embroidered linen bag.</strong></span></p>
<p><strong>Height - 55cms </strong></p>"
,all,All,,ALFIE the Rabbit,Default Title,26.00,Yes,https://janecarrolldesign.com/products/alfie-the-rabbit,https://cdn.shopify.com/s/files/1/1302/3613/products/324.jpg?v=1494495558,"<p><span style=""color: #bf9000;""><strong>Alfie is the 35cms version of our large Alfie Rabbit, who has proved to be so popular we decided to make a friend for our 35 cms Fifi! He is dressed with the same care and attention  to detail with soft corduroy dungarees and a practical knitted jumper.</strong></span></p>
<p><strong>Height -35cms</strong></p>"
,all,All,,All we need is love,Default Title,2.50,Yes,https://janecarrolldesign.com/products/all-we-need-is-love,https://cdn.shopify.com/s/files/1/1302/3613/products/JC-19.jpg?v=1493806264,"<p><span style=""color: #ff00ff;""><strong>Irish made printed greeting card.</strong></span></p>
<p><span style=""color: #ff00ff;""><strong>Dimension - 130mm x 130mm</strong></span></p>"
,all,All,,An Elephant in the Rain - Framed,Default Title,40.00,Yes,https://janecarrolldesign.com/products/framed-elephant-in-rain,https://cdn.shopify.com/s/files/1/1302/3613/products/Framed-Elephant-In-Rain.jpg?v=1464648247,
,all,All,,BABY ALFIE Rattle Softie,Default Title,16.00,Yes,https://janecarrolldesign.com/products/baby-alfie-rattle-softie,https://cdn.shopify.com/s/files/1/1302/3613/products/903.jpg?v=1494332579,"<p><span style=""color: #bf9000;""><strong>Baby Alfie Rattle soft toy is dressed in soft chunky corduroy dungarees and a teal knitted jumper. Made from the fluffiest beige coloured velour , he will be the perfect companion for your baby in the pram. Give Baby Alfie a gentle shake to hear her delicate rattle.</strong></span></p>
<p><strong>Height - 23 cms.</strong></p>"
,all,All,,BABY BO RABBIT,Default Title,20.00,Yes,https://janecarrolldesign.com/products/baby-bo-rabbit,https://cdn.shopify.com/s/files/1/1302/3613/products/407.jpg?v=1494498343,"<p><span style=""color: #b45f06;""><strong>Baby Bo Rabbit is just as lovable and will delight any child for many years to come. Baby Bo is made in the same gorgeous fur, has a weighted torso, and comes with an embroidered identification patch on the sole of the paw. Baby Bo arrives in a beautiful presentation box.</strong></span></p>
<p><strong>Height - 29 cms</strong></p>"
,all,All,,Baby Boy - Congratulations,Default Title,2.50,Yes,https://janecarrolldesign.com/products/baby-boy-congratulations,https://cdn.shopify.com/s/files/1/1302/3613/products/JC-16.jpg?v=1493805913,"<p><span style=""color: #3d85c6;""><strong>Irish made printed greeting card.</strong></span></p>
<p><span style=""color: #3d85c6;""><strong>Dimension - 130mm x 130mm</strong></span></p>"
,all,All,,BABY DARCY BEAR,Default Title,20.00,Yes,https://janecarrolldesign.com/products/baby-darcy-bear,https://cdn.shopify.com/s/files/1/1302/3613/products/406.jpg?v=1494498639,"<p><span style=""color: #b45f06;""><strong>Baby Darcy is just the right size for a traveling companion, whether its home or abroad. The attention to detail is just the same as on the larger version of Darcy with a velvety brown nose, embroidered eyes and an identification patch. Baby Darcy arrives in a beautiful presentation box.</strong></span></p>
<p><strong>Height - 27 cms </strong></p>"
,all,All,,BABY FIFI Rattle Softie,Default Title,18.00,Yes,https://janecarrolldesign.com/products/baby-fifi-rattle-softie,https://cdn.shopify.com/s/files/1/1302/3613/products/902.jpg?v=1494332089,"<p><span style=""color: #a64d79;""><strong>Delightful Baby Fifi Rattle soft toy is made from the softest velour and 100% cotton yarn which has been sourced for her hand-knitted dress. A floral ribbon is threaded through the dress completing her pretty look. Give Baby Fifi a gentle shake to hear her delicate rattle.</strong></span></p>
<p><strong>Height - 23 cms.</strong></p>"
,all,All,,Baby Girl - Congratulations,Default Title,2.50,Yes,https://janecarrolldesign.com/products/baby-girl-congratulations,https://cdn.shopify.com/s/files/1/1302/3613/products/JC-15.jpg?v=1493805719,"<p><span style=""color: #ff00ff;""><strong>Irish made printed greeting card.</strong></span></p>
<p><span style=""color: #ff00ff;""><strong>Dimension - 130mm x 130mm</strong></span></p>"
,all,All,,Baby Hamper- Boy,Default Title,95.00,Yes,https://janecarrolldesign.com/products/baby-hamper,https://cdn.shopify.com/s/files/1/1302/3613/products/IMG_6035.JPG?v=1499529288,"<p>Other Option available. Please contact us for more details: -</p>
<p>Contact Number -  +35312108771</p>
<p>Email id - Jane@janecarrolldesign.com</p>
<p> </p>"
,all,All,,Baby Hamper- Girl,Default Title,95.00,Yes,https://janecarrolldesign.com/products/baby-hamper-1,https://cdn.shopify.com/s/files/1/1302/3613/products/IMG_6036.JPG?v=1499529448,"<p>Other Option available. Please contact us for more details: -</p>
<p>Contact Number -  +35312108771</p>
<p>Email id - Jane@janecarrolldesign.com</p>"
,all,All,,Baby Hedgehog w. leaf,Default Title,29.00,Yes,https://janecarrolldesign.com/products/baby-hedgehog-w-leaf,https://cdn.shopify.com/s/files/1/1302/3613/products/Baby_Hedgehog_w._leaf.jpg?v=1495210241,"<span style=""color: #0b5394;""><strong>Hedgehogs make pig like sounds as they dig through hedges in hopes of finding food. This is also where they get their name. Even though our hedgehogs won't make a sound they are super cute and soft. Wrap your hedgehog up in their leaf to keep it warm at night.</strong></span>"
,all,All,,baby photos,Default Title,0.00,Yes,https://janecarrolldesign.com/products/baby-photos,https://cdn.shopify.com/s/files/1/1302/3613/products/8ef1ea18de3096c13680e62a20b8253b.jpg?v=1491943534,25cms
,all,All,,Balloon Pendulum Clock,Default Title,48.00,Yes,https://janecarrolldesign.com/products/balloon-pendulum-clock,https://cdn.shopify.com/s/files/1/1302/3613/products/balloon.jpg?v=1495724254,"<p><span style=""color: #0b5394;""><strong>Hand crafted multi coloured wooden hot air balloon clock being flown by a teddy bear with a swinging basket pendulum. Takes 2x AA batteries .</strong></span></p>
<p><span style=""color: #0b5394;""><strong>(H)38cm x (W)27cm</strong></span></p>"
,all,All,,Barbarossa Pirate Ship,Default Title,62.00,Yes,https://janecarrolldesign.com/products/barbarossa-pirate-ship,https://cdn.shopify.com/s/files/1/1302/3613/products/barbossa.jpg?v=1496330261,"<h4 class=""content"" data-hook=""product-page-description-content"" style=""box-sizing: border-box; font-family: inherit; white-space: pre-wrap; overflow-wrap: break-word; margin-top: 0px; margin-bottom: 0px; text-overflow: ellipsis; color: #cfcfcf; font-size: 20px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; text-align: left; text-indent: 0px; text-transform: none; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;""><span style=""color: #0b5394;"">Sail the seven seas with the Barbarossa Pirate Ship.</span></h4>
<h4 class=""content"" data-hook=""product-page-description-content"" style=""box-sizing: border-box; font-family: inherit; white-space: pre-wrap; overflow-wrap: break-word; margin-top: 0px; margin-bottom: 0px; text-overflow: ellipsis; color: #cfcfcf; font-size: 20px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; text-align: left; text-indent: 0px; text-transform: none; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;""><span style=""color: #0b5394;"">The classic black painted wooden pirate ship with a skull and crossed swords motif on the fabric sails. Features include; a crow's nest, a 'walk-the-plank', rigging, a spring loaded firing the cannon with cannon balls, a wind-up anchor, a deck trap-door, a helm, a Barbarossa figurehead and a rear opening stern for access. Perfectly scaled for Budkins characters and any other figurines around 10cm tall.</span></h4>
<h4 class=""title"" style=""box-sizing: border-box; font-weight: bold; margin: 0px 0px 15px; font-size: 26px; font-style: normal; font-variant: normal; font-stretch: normal; line-height: 32px; font-family: 'open sans condensed',sans-serif; color: #d0d0d0; overflow-wrap: break-word; letter-spacing: normal; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;""><span style=""color: #0b5394;"">Product Dimensions D x H x L (cm): <span style=""font-family: 'open sans condensed',sans-serif; font-size: 20px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;"">19x48x49</span></span></h4>
<h4 class=""title"" style=""box-sizing: border-box; font-weight: bold; margin: 0px 0px 15px; font-size: 26px; font-style: normal; font-variant: normal; font-stretch: normal; line-height: 32px; font-family: 'open sans condensed',sans-serif; color: #d0d0d0; overflow-wrap: break-word; letter-spacing: normal; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;""><span style=""color: #0b5394;"">Colour Box Size D x H x L (cm): <span style=""font-family: 'open sans condensed',sans-serif; font-size: 20px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;"">44.0x16.5x17.5</span></span></h4>"
,all,All,,Bashful Blake Bunny,Default Title,26.00,Yes,https://janecarrolldesign.com/products/bashful-blake-bunny,https://cdn.shopify.com/s/files/1/1302/3613/products/Bashful_Blake_Bunny.jpg?v=1499527137,"<p>Bashful Blake Bunny is one cool guy! With his warm, gray fur, he's a little stormcloud, ready to bounce across the sky! But peek underneath those long lop ears and there's a further surprise in store - so many splendid, striking stripes in black and gray and red!</p>
<p> </p>
<li>Suitable from birth. Huge and Large sizes - please do not leave in a cot/ crib.</li>
<li>Made from 100% polyester.</li>
<li>Hand washes only; do not tumble dry, dry clean or iron. Not recommended to clean in a washing machine.</li>
<p> </p>"
,all,All,,Bashful Dino,Default Title,30.00,Yes,https://janecarrolldesign.com/products/bashful-dino,https://cdn.shopify.com/s/files/1/1302/3613/products/bashfuldino.jpg?v=1499528276,"<p>Most dinosaurs were scaly and tough, but Bashful Dino is the softest stegosaurus we’ve ever snuggled! He likes to stomp around so his squishy spines wobble, and practise his adorable roar. But how did he get so gorgeously green? Perhaps it’s all that grass he’s been eating!</p>
<p> </p>
<li>Suitable from birth. Huge and Large sizes - please do not leave in a cot/ crib.</li>
<li>Made from 100% polyester.</li>
<li>Hand wash only; do not tumble dry, dry clean or iron. Not recommended to clean in a washing machine.</li>
<p> </p>"
,all,All,,Bashful Tulip Pink Bunny,Default Title,26.00,Yes,https://janecarrolldesign.com/products/bashful-tulip-pink-bunny,https://cdn.shopify.com/s/files/1/1302/3613/products/Bashful_Tulip_Pink_Bunny.jpg?v=1499529008,"<p>Fun-loving and cheeky Bashful Tulip Pink Bunny is making her mark! This scrumptious pink bunny is looking for friends to share secrets and ideas with, and is a great listener with her soft, nuzzly ears. We named her after her very favourite flower, as she’s always playing merrily in the garden!</p>
<p> </p>
<li>Suitable from birth. Huge and Large sizes - please do not leave in a cot/ crib.</li>
<li>Made from 100% polyester.</li>
<li>Hand wash only; do not tumble dry, dry clean or iron. Not recommended to clean in a washing machine.</li>
<p> </p>"
,all,All,,Bashful Twinkle Bunny,Default Title,26.00,Yes,https://janecarrolldesign.com/products/bashful-twinkle-bunny,https://cdn.shopify.com/s/files/1/1302/3613/products/bashful_twinkle_bunny.jpg?v=1499526186,"<p>Bashful Twinkle Bunny shimmers and shines with gossamer soft creamy fur and glimmering silver stars in her ears. Indulge in the softest of cuddles with a Bashful Bunny as beautiful as Stardust and as whimsically pretty as moonbeams in the night sky.</p>
<p> </p>
<li>Suitable from birth. Huge and Large sizes - please do not leave in a cot/ crib.</li>
<li>Made from 100% polyester.</li>
<li>Hand washes only; do not tumble dry, dry clean or iron. Not recommended to clean in a washing machine.</li>
<p> </p>"
,all,All,,Bay Tree House,Default Title,165.00,Yes,https://janecarrolldesign.com/products/bay-tree-house,https://cdn.shopify.com/s/files/1/1302/3613/products/baytree.jpg?v=1496326511,"<h4 class=""content"" data-hook=""product-page-description-content"" ng-bind-html=""descriptionVM.descriptionToHtml()"" style=""box-sizing: border-box; font-family: inherit; white-space: pre-wrap; overflow-wrap: break-word; margin-top: 0px; margin-bottom: 0px; text-overflow: ellipsis; color: #cfcfcf; font-size: 20px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; text-align: left; text-indent: 0px; text-transform: none; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;""><span style=""color: #0b5394;"">Elegance: A fully painted and decorated large 3 storey doll's house with a circular window. It includes a staircase, a loft ladder and opening windows.</span></h4>
<h4 class=""title"" style=""box-sizing: border-box; font-weight: bold; margin: 0px 0px 15px; font-size: 26px; font-style: normal; font-variant: normal; font-stretch: normal; line-height: 32px; font-family: 'open sans condensed',sans-serif; color: #d0d0d0; overflow-wrap: break-word; letter-spacing: normal; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;""><span style=""color: #0b5394;"">Product Dimensions D x H x L (cm): <span style=""font-family: 'open sans condensed',sans-serif; font-size: 20px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; letter-spacing: normal; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;"">35x67x61</span></span></h4>
<h4 class=""title"" style=""box-sizing: border-box; font-weight: bold; margin: 0px 0px 15px; font-size: 26px; font-style: normal; font-variant: normal; font-stretch: normal; line-height: 32px; font-family: 'open sans condensed',sans-serif; color: #d0d0d0; overflow-wrap: break-word; letter-spacing: normal; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;""><span style=""color: #0b5394;"">Colour Box Size D x H x L (cm): <span style=""font-family: 'open sans condensed',sans-serif; font-size: 20px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; letter-spacing: normal; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;"">68x49x13.5</span></span></h4>"
,all,All,,Bedtime Elephant,Default Title,22.00,Yes,https://janecarrolldesign.com/products/bedtime-elephant,https://cdn.shopify.com/s/files/1/1302/3613/products/Bedtime_Elephant.jpg?v=1499528563,"<p>Bedtime Elephant is so, so clever! He’s got into his jimjams all by himself! And very fancy jammies they are too, all cloudy and blue! They go so well with his soft, grey ears and trunk. Now he’s tucked up snug as a bug, what shall we read her for a sleepy story? How about CinderElly?</p>
<p> </p>
<li>Suitable from birth.</li>
<li>Made from 100% polyester.</li>
<li>Hand wash only; do not tumble dry, dry clean or iron. Not recommended to clean in a washing machine.</li>
<p> </p>"
,all,All,,BELLA RABBIT,Default Title,30.00,Yes,https://janecarrolldesign.com/products/bella-rabbit,https://cdn.shopify.com/s/files/1/1302/3613/products/322.jpg?v=1494497947,"<p><span style=""color: #ff00ff;""><strong>Bella the Rabbit is a gorgeous girly bunny. Jointed on the legs and with a weighted torso. Bella would make the most perfect christening or birthday gift for any little girl. Presented in a blush pink square presentation box.</strong></span></p>
<p><strong>Height - 49 cms</strong></p>"
,all,All,,Bertie's Tractor,Default Title,32.00,Yes,https://janecarrolldesign.com/products/berties-tractor,https://cdn.shopify.com/s/files/1/1302/3613/products/bertietractor.jpg?v=1496414697,"<h4 class=""content"" data-hook=""product-page-description-content"" ng-bind-html=""descriptionVM.descriptionToHtml()"" style=""box-sizing: border-box; font-family: inherit; white-space: pre-wrap; overflow-wrap: break-word; margin-top: 0px; margin-bottom: 0px; text-overflow: ellipsis; color: #cfcfcf; font-size: 20px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; text-align: left; text-indent: 0px; text-transform: none; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;"">
<span style=""color: #0b5394;""><strong>Down on the farm.Discover this shiny red tractor and detachable trailer. </strong></span><br><br>
</h4>
<h4 class=""title"" style=""box-sizing: border-box; font-weight: bold; margin: 0px 0px 15px; font-size: 26px; font-style: normal; font-variant: normal; font-stretch: normal; line-height: 32px; font-family: 'open sans condensed',sans-serif; color: #d0d0d0; overflow-wrap: break-word; letter-spacing: normal; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;""><span style=""color: #0b5394;""><strong>Product Dimensions D x H x L (cm)</strong></span></h4>
<h4 style=""box-sizing: border-box; font-weight: 400; margin: 0px; font-family: inherit; font-size: inherit; font-variant: inherit; font-stretch: inherit; line-height: inherit; white-space: normal;""><span style=""color: #0b5394;""><strong>31x13x9</strong></span></h4>
<h4 style=""box-sizing: border-box; font-weight: 400; margin: 0px; font-family: inherit; font-size: inherit; font-variant: inherit; font-stretch: inherit; line-height: inherit; white-space: normal;""></h4>
<h4 class=""title"" style=""box-sizing: border-box; font-weight: bold; margin: 0px 0px 15px; font-size: 26px; font-style: normal; font-variant: normal; font-stretch: normal; line-height: 32px; font-family: 'open sans condensed',sans-serif; color: #d0d0d0; overflow-wrap: break-word; letter-spacing: normal; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;""><span style=""color: #0b5394;""><strong>Colour Box Size D x H x L (cm)</strong></span></h4>
<h4 style=""box-sizing: border-box; font-weight: 400; margin: 0px; font-family: inherit; font-size: inherit; font-variant: inherit; font-stretch: inherit; line-height: inherit; white-space: normal;""><span style=""color: #0b5394;""><strong>13.0x41.7x18.0</strong></span></h4>"
,all,All,,Blackberry Hat (Size - 3 to 6 months),Default Title,18.00,Yes,https://janecarrolldesign.com/products/blackberry-hat-size-3-to-6-months,https://cdn.shopify.com/s/files/1/1302/3613/products/blackberry.jpg?v=1494604783,"<p><span style=""color: #ff00ff;""><strong>100% cotton knitted hat.</strong></span></p>
<p><span style=""color: #ff00ff;""><strong>Blackberry- navy with apple green leaves/stalk and red pips.</strong></span></p>"
,all,All,,Blackberry Hat (Size - 6 to 12 months),Default Title,18.00,Yes,https://janecarrolldesign.com/products/blackberry-hat-size-6-to-12-months,https://cdn.shopify.com/s/files/1/1302/3613/products/blackberry_438a3c81-8ce5-4e2e-a2a8-5df1f5d4457a.jpg?v=1494604858,"<p><span style=""color: #ff00ff;""><strong>100% cotton knitted hat</strong></span></p>
<p><span style=""color: #ff00ff;""><strong>Blackberry- navy with apple green leaves/stalk and red pips</strong></span></p>"
,all,All,,Blank - Ducks,Default Title,2.50,Yes,https://janecarrolldesign.com/products/blank-ducks,https://cdn.shopify.com/s/files/1/1302/3613/products/JC-32.jpg?v=1493808224,"<p><span style=""color: #bf9000;""><strong>Irish made printed greeting card.</strong></span></p>
<p><span style=""color: #bf9000;""><strong>Dimension - 130mm x 130mm</strong></span></p>"
,all,All,,Blank - Flowers - Pink,Default Title,2.50,Yes,https://janecarrolldesign.com/products/blank-flowers-pink,https://cdn.shopify.com/s/files/1/1302/3613/products/JC-22.jpg?v=1493806625,"<p><span style=""color: #a64d79;""><strong>Irish made printed greeting card.</strong></span></p>
<p><span style=""color: #a64d79;""><strong>Dimension - 130mm x 130mm</strong></span></p>"
,all,All,,Blank - Flowers - Red,Default Title,2.50,Yes,https://janecarrolldesign.com/products/blank-flowers,https://cdn.shopify.com/s/files/1/1302/3613/products/JC-33.jpg?v=1493808334,"<p><span style=""color: #e06666;""><strong>Irish made printed greeting card.</strong></span></p>
<p><span style=""color: #e06666;""><strong>Dimension - 130mm x 130mm</strong></span></p>"
,all,All,,Blank - French Hens,Default Title,2.50,Yes,https://janecarrolldesign.com/products/blank-french-hens,https://cdn.shopify.com/s/files/1/1302/3613/products/JC-34.jpg?v=1493808470,"<p><span style=""color: #6aa84f;""><strong>Irish made printed greeting card.</strong></span></p>
<p><span style=""color: #6aa84f;""><strong>Dimension - 130mm x 130mm</strong></span></p>"
,all,All,,Blank - Hearts,Default Title,2.50,Yes,https://janecarrolldesign.com/products/blank-hearts,https://cdn.shopify.com/s/files/1/1302/3613/products/JC-27.jpg?v=1493807618,"<p><span style=""color: #a64d79;""><strong>Irish made printed greeting card.</strong></span></p>
<p><span style=""color: #a64d79;""><strong>Dimension - 130mm x 130mm</strong></span></p>"
,all,All,,Blue - Bunting,Default Title,25.00,Yes,https://janecarrolldesign.com/products/bunting-blue,https://cdn.shopify.com/s/files/1/1302/3613/products/bunting-blue-2.JPG?v=1464648348,
,all,All,,Blue Mushroom Night Light - Small,Default Title,50.00,Yes,https://janecarrolldesign.com/products/blue-mushroom-night-light,https://cdn.shopify.com/s/files/1/1302/3613/products/Blue-Mushroom-Night-Light.jpg?v=1464648785,"<p>Ease your children into getting used to the dark with these fun little night lights, available in a range of colours.</p>"
,all,All,,Blue Owl Hat (Size - 3 to 6 months),Default Title,18.00,Yes,https://janecarrolldesign.com/products/blue-owl-hat-size-3-to-6-months,https://cdn.shopify.com/s/files/1/1302/3613/products/Blue_owl.jpg?v=1494603446,"<p><span style=""color: #ff00ff;""><strong>100% cotton knitted hat. Made in the U.K.</strong></span></p>
<p><span style=""color: #ff00ff;""><strong>Royal blue owl with cross stitch turq eyes on sky blue</strong></span></p>"
